                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 2.0039,                0.98342,                0.93317,                0.93034,                0.97538,                0.97932,                0.45959,                  1.894,                0.89152,                0.94817,               0.014207,              0.0012067,              0.0012067
                     88,                 1.8101,                0.84418,                 1.0114,                0.93034,                0.97538,                0.97932,                0.45959,                  1.894,                0.89152,                0.94817,               0.013133,              0.0011334,              0.0011334
                     89,                 1.9054,                 1.0622,                0.88496,                0.93034,                0.97538,                0.97932,                0.45959,                  1.894,                0.89152,                0.94817,               0.012058,              0.0010582,              0.0010582
                     90,                  1.575,                0.79516,                0.91892,                0.93034,                0.97538,                0.97932,                0.45959,                  1.894,                0.89152,                0.94817,               0.010981,               0.000981,               0.000981
                     91,                 1.6851,                0.88137,                0.92715,                 0.9452,                0.97385,                0.98017,                0.47529,                 1.8287,                0.80076,                0.94041,              0.0099018,             0.00090181,             0.00090181
                     92,                 1.6642,                0.79594,                0.99343,                 0.9452,                0.97385,                0.98017,                0.47529,                 1.8287,                0.80076,                0.94041,              0.0088206,             0.00082064,             0.00082064
                     93,                 1.6639,                0.79856,                0.97845,                 0.9452,                0.97385,                0.98017,                0.47529,                 1.8287,                0.80076,                0.94041,              0.0077375,             0.00073749,             0.00073749
                     94,                 1.7143,                0.82593,                0.94764,                 0.9452,                0.97385,                0.98017,                0.47529,                 1.8287,                0.80076,                0.94041,              0.0066524,             0.00065236,             0.00065236
                     95,                 1.6817,                0.82743,                0.92233,                0.92857,                0.97668,                0.98161,                0.47778,                 1.8089,                0.79293,                0.94029,              0.0055653,             0.00056525,             0.00056525
                     96,                 1.6714,                0.81098,                0.92224,                0.92857,                0.97668,                0.98161,                0.47778,                 1.8089,                0.79293,                0.94029,              0.0044762,             0.00047616,             0.00047616
                     97,                 1.8663,                0.91574,                0.98861,                0.92857,                0.97668,                0.98161,                0.47778,                 1.8089,                0.79293,                0.94029,              0.0033851,             0.00038509,             0.00038509
                     98,                  1.795,                0.87118,                 1.0267,                0.92857,                0.97668,                0.98161,                0.47778,                 1.8089,                0.79293,                0.94029,               0.002292,             0.00029204,             0.00029204
                     99,                   1.74,                0.86595,                0.99667,                0.92707,                0.97816,                0.98202,                 0.4886,                 1.7806,                0.78467,                0.93839,               0.001197,             0.00019701,             0.00019701
